,France,Japan,"Korea, Republic of",Norway,Portugal,Sweden,Switzerland,United Kingdom,United States
1998Q2,1088.5433333333335,1273.8845633333335,916.8083333333332,1063.033333333334,957.2739999999992,3350.9766666666656,1294.256166666666,993.8666666666669,162.766666666667
1998Q3,1085.6666666666663,1268.9288166666677,914.4003333333334,1060.9666666666662,959.8666666666672,3330.33,1291.7983000000002,987.9666666666662,163.4
1998Q4,1087.4399999999991,1274.3605800000007,916.7293333333337,1071.5999999999997,970.4443333333337,3339.4100000000003,1291.8386333333333,998.0333333333332,163.966666666667
1999Q1,1087.0966666666668,1265.0876500000006,918.3773333333329,1068.166666666667,967.1230000000004,3381.763333333334,1296.7689999999998,987.233333333334,164.6
1999Q2,1094.07,1272.091353333333,919.353666666667,1077.6,977.289,3418.1733333333327,1292.5373000000004,994.6666666666664,166.2
1999Q3,1091.2600000000004,1267.3026000000004,917.7186666666669,1065.4,975.1710000000004,3440.4766666666674,1287.1178999999993,989.3333333333331,167.233333333333
1999Q4,1095.033333333334,1270.9484133333335,921.8436666666666,1079.7333333333336,985.2790000000005,3456.446666666666,1284.8335,996.2999999999996,168.266666666667
2000Q1,1096.87,1260.172046666667,930.1880000000004,1071.1333333333332,976.897333333333,3452.590000000001,1280.9789333333333,982.7333333333337,169.933333333333
2000Q2,1096.1633333333325,1263.0952233333342,925.6729999999998,1087.1999999999996,991.8700000000001,3474.760000000001,1269.0217999999995,989.5999999999997,171.733333333333
2000Q3,1096.4599999999994,1257.8516499999996,931.733333333333,1083.1999999999998,995.8126666666668,3473.1733333333323,1270.4954999999998,981.2999999999995,173.1
2000Q4,1099.7866666666673,1254.6752699999997,936.820333333333,1096.2333333333331,1009.2700000000003,3498.256666666667,1271.7093999999997,990.5000000000001,174.033333333333
2001Q1,1097.3633333333344,1242.5985500000006,953.9699999999999,1095.6333333333337,1009.351,3503.5633333333326,1271.2916333333337,976.3999999999999,175.7
2001Q2,1107.5200000000011,1244.4905900000003,960.8506666666668,1104.9333333333334,1024.774666666667,3571.6399999999994,1278.4697333333336,986.7666666666669,177.533333333333
2001Q3,1107.3266666666666,1238.7113833333335,961.2529999999997,1096.133333333333,1026.8526666666673,3577.0133333333333,1272.5009666666665,983.2000000000003,177.766666666667
2001Q4,1110.7233333333324,1236.6220666666663,959.9103333333337,1107.8666666666666,1041.0503333333327,3604.8233333333333,1272.9646666666663,989.8333333333334,177.266666666667
2002Q1,1116.2166666666676,1224.4179433333338,967.3139999999999,1100.133333333333,1041.2916666666665,3613.423333333334,1271.1522666666667,983.0666666666675,177.9
2002Q2,1123.773333333334,1229.1076666666665,975.3523333333335,1114.4999999999993,1059.7116666666664,3653.0700000000006,1287.7946000000004,989.3666666666664,179.833333333333
2002Q3,1125.266666666666,1224.7270833333325,976.3046666666663,1107.4,1064.3879999999997,3650.006666666667,1274.9419666666668,985.4000000000004,180.6
2002Q4,1131.2399999999998,1225.5483033333335,980.9253333333336,1119.0999999999997,1080.5670000000002,3679.776666666666,1289.388566666666,996.0999999999995,181.166666666667
2003Q1,1135.826666666667,1215.356676666666,992.2826666666663,1117.166666666667,1076.6219999999998,3707.176666666667,1283.6304666666654,991.533333333334,183.0
2003Q2,1141.3233333333335,1225.0451566666668,995.327666666667,1113.2333333333331,1091.484333333333,3716.9566666666683,1296.5428333333325,997.0333333333328,183.666666666667
2003Q3,1142.953333333333,1224.2360799999992,995.6360000000001,1103.1999999999996,1090.1660000000006,3712.696666666667,1280.606333333333,997.2666666666668,184.566666666667
2003Q4,1154.4000000000005,1222.3934299999992,999.593666666667,1110.366666666667,1108.3060000000005,3732.526666666668,1295.4233000000004,1003.9666666666668,184.6
2004Q1,1158.81,1210.6111033333332,1009.9206666666668,1106.1666666666677,1102.958666666667,3737.3333333333358,1285.1379666666664,999.1333333333331,186.266666666667
2004Q2,1168.2633333333329,1217.1554966666674,1015.5659999999999,1113.6666666666665,1118.5379999999998,3759.993333333333,1306.356333333334,1005.0666666666671,188.933333333333
2004Q3,1168.2433333333327,1216.911636666667,1022.4853333333332,1106.3333333333323,1114.5783333333334,3756.5800000000004,1287.0107333333342,1001.166666666667,189.6
2004Q4,1174.1033333333335,1216.1597366666667,1020.6096666666671,1118.5,1129.563333333333,3774.3500000000004,1306.1669666666662,1009.4000000000003,190.733333333333
2005Q1,1175.0799999999997,1203.084246666667,1037.7193333333335,1106.2333333333331,1126.0753333333328,3770.6333333333337,1297.2186333333334,1006.5666666666665,191.933333333333
2005Q2,1183.6233333333325,1210.63026,1040.659666666667,1119.3333333333335,1138.9616666666664,3786.180000000001,1313.5114000000003,1014.0999999999996,194.5
2005Q3,1183.2966666666662,1207.5246499999998,1043.831333333333,1118.766666666667,1138.5406666666663,3787.730000000002,1286.624966666667,1014.9666666666669,196.866666666667
