,Australia,Brazil,Canada,Colombia,France,Indonesia,Israel,Japan,"Korea, Republic of",Mexico,New Zealand,Norway,Portugal,Sweden,Switzerland,United Kingdom,United States
1994Q3,345.70000000000005,932.046666666667,171.0,24.9333333333333,1051.4066666666668,16.3026766666667,794.71393,1250.1192733333341,792.8096666666667,35.8658933333333,77.05177,1018.0666666666668,847.3583333333336,3070.296666666668,1274.8448333333342,957.633333333333,148.933333333333
1994Q4,349.4,995.963333333333,171.0,25.7966666666667,1056.2066666666674,16.6337466666667,823.5630366666669,1253.3291433333331,787.6853333333333,36.54411,77.96183,1025.1999999999996,857.4296666666667,3100.0966666666673,1276.4122000000004,962.6000000000003,149.633333333333
1995Q1,357.1,1046.16333333333,174.2666666666666,27.4966666666667,1059.3766666666663,17.0877166666667,827.4113733333332,1249.4134400000007,798.3529999999998,40.34262,78.87189,1016.6999999999995,876.193333333334,3131.4699999999984,1294.6928000000005,958.7666666666671,150.866666666667
1995Q2,361.5,1113.97333333333,175.89999999999998,29.36,1063.5333333333333,17.5868266666667,848.5449933333323,1256.6176166666671,808.4066666666668,47.6004366666667,79.63027,1026.733333333333,884.0406666666671,3159.693333333334,1298.534333333333,971.3333333333329,152.2
1995Q3,364.5,1178.94666666667,174.8666666666667,30.2033333333333,1064.81,17.8175733333333,858.2493666666662,1252.4664066666667,813.8433333333335,51.7157466666667,79.78195,1025.8666666666668,888.5610000000006,3193.6466666666656,1299.3889333333334,965.9999999999994,152.866666666667
1995Q4,367.4,1225.57333333333,174.4,30.9666666666667,1071.5999999999997,18.0959733333333,885.420863333334,1255.0734533333334,817.9996666666665,55.923333333333304,80.23698,1033.1,894.443,3215.873333333334,1300.4863,976.7666666666664,153.6
1996Q1,1470.0,1271.04666666667,175.7,33.1133333333333,1075.52,18.9035833333333,896.9215866666664,1247.4088166666666,830.6860000000003,61.5042433333333,80.61617,1019.0999999999996,903.5509999999996,3221.1899999999987,1298.640633333333,969.1333333333325,155.0
1996Q2,1471.5,1310.18333333333,177.5333333333333,35.1733333333333,1083.2799999999993,18.9913666666667,930.1195333333338,1254.5837099999997,839.5276666666665,66.45783666666671,81.22288,1027.2333333333333,913.7809999999994,3233.736666666665,1300.2374999999997,979.8666666666674,156.533333333333
1996Q3,1472.1999999999998,1345.16666666667,177.2333333333333,36.5733333333333,1077.013333333334,19.0741333333333,948.6136133333329,1250.4089933333332,847.376666666667,69.4667466666667,81.67791,1030.766666666666,918.0250000000001,3226.479999999999,1302.666666666667,975.0666666666663,157.366666666667
1996Q4,1471.3,1357.54333333333,178.5,37.7133333333333,1080.253333333333,19.2471933333333,968.9794799999996,1253.6042633333327,850.6583333333336,72.6675566666667,82.28461,1042.7000000000005,924.8959999999996,3246.783333333333,1304.8967333333328,985.2333333333335,158.5
1997Q1,1473.8,1386.28666666667,179.7666666666667,39.6366666666667,1084.1833333333334,19.7437966666667,978.6893633333339,1244.6842666666669,856.9826666666665,77.7807666666666,82.0571,1039.9666666666667,934.4920000000006,3270.306666666665,1308.5975999999998,975.6333333333337,159.566666666667
1997Q2,1473.4,1411.94,180.1,41.72,1088.729999999999,19.9168566666667,1008.8987033333333,1271.55526,861.4140000000001,79.9289566666666,82.13294,1045.5000000000002,939.8593333333333,3301.100000000001,1308.780533333333,984.7000000000002,160.2
