Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,^GSPC
5/19/2017,-0.019666912,-0.008944198,-0.01368123,0.016934602,-0.069313266,0.015392045,-0.018839728,-0.019981401,-0.007812589,-0.033913952,-0.003958802,0.010650029,-0.003665494,0.026812928,-0.024928429,0.007086538,0.019011808,0.002029811,0.003297966,-0.004426266,-0.045870141,-0.016801937,0.000579901,0.001657189,0.004529636,0.008178849,-0.000926765,-0.009204601,0.03962194,-0.007538994,-0.003842717
5/12/2017,0.050938143,-0.010654128,-0.001932251,0.010681411,-0.027713977,0.001605599,-0.018127145,-0.020751337,-0.033052235,-0.01801281,0.007612411,-0.020927366,-0.035663756,0.001051988,-0.000920017,-0.002291436,0.009677854,-0.014294123,-0.006272542,-0.009026173,0.004623258,-0.004504948,-0.003590254,-0.005870525,-0.013355452,-0.004294333,0.006925811,-0.018372857,-0.003710731,0.015839992,-0.003503053
5/5/2017,0.036298235,-0.011804364,0.000973359,-0.025954932,0.009348505,-0.008565129,0.017279379,-0.031726384,0.007902499,0.013624338,-0.002373192,-0.03323705,0.025775943,0.000323893,0,0.012436795,0.028393324,0.018065811,0.025971369,0.007856925,-0.026702381,-0.013056495,-0.009549643,-0.002963451,-0.004355352,0.019639522,0.009492135,0.016847012,0.017405448,0.004521226,0.006309259
4/28/2017,0.009652953,-0.00428105,0.024370692,0.080825302,0.037379156,0.017109029,0.013889075,0.010085303,-0.019132786,0.031500759,0.039861569,-0.000561411,-0.004691623,0.013946342,0.028919994,0.001855765,0.047715113,0.022359197,0.007084262,0.030552525,-0.0079094,0.008288912,-0.01466355,0.021266826,0.021501211,0.034194249,0.000767604,-0.028769727,0.003197453,0.011827234,0.015005917
4/21/2017,0.008612241,0.048790065,0.026743266,0.021291177,0.01226271,-0.01146986,0.015504206,0.01089456,-0.00033834,-0.029353731,0.027645285,-0.055483777,0.029903105,-0.026181803,0.001420737,0.006522256,0.02006357,0.014994387,-0.01156645,0.022079406,0.009173523,-0.00710907,-0.008157129,-0.011935219,0.036895764,0.025543094,0.02533189,-0.02858229,0.024175618,-0.012317004,0.0084402
4/14/2017,-0.016105001,-0.025657364,-0.018225023,-0.025661486,-0.016519264,-0.025680692,-0.033148023,0.005491981,-0.0144419,-0.020213423,-0.008326609,-0.015278274,-0.021886384,0.000560219,-0.020870747,0.004215397,0.006136846,-0.007078087,-0.008271092,-0.011176822,0.004164773,-0.006472479,0.008925579,0.003157713,-0.006405203,-0.007997235,0.001463953,-0.000822364,0.003423519,-0.013013237,-0.011352516
4/7/2017,-0.002230008,-0.012986233,0.011189141,0.029320108,-0.016492478,0.013781869,-0.003491677,-0.007169099,0.006355579,-0.008042026,0.002041113,-0.011551489,-0.001109604,0.002966222,-0.013349356,0.003997763,0.002696803,-0.007028176,-0.0064735,-0.002736871,-0.011187397,-0.003220597,-0.006924285,-0.003240669,0.012180902,0.006927182,-0.001463953,0.010013346,0.011312005,0.009103707,-0.003043468
3/31/2017,0.021246052,0.011569729,0.00589766,0.006597825,-0.008250034,-0.005757801,0.00912909,0.01108517,0.002688147,0.005718909,-0.005975404,0.001781832,0.025552422,-0.007439146,0.006280927,0.007568602,0.002085408,-0.000940307,0.005681829,0.013451751,-0.011241104,0.006157449,-0.007981368,-0.001906222,-0.006018095,0.003660528,-0.00359433,-0.018897359,0.034868437,0.009556511,0.007963155
3/24/2017,0.004632407,-0.013337824,-0.024051533,-0.008213593,-0.004391598,0.002874752,-0.020516781,0.00339434,-0.005369122,-0.065780021,-0.012714236,-0.010415513,-0.003123724,-0.02035246,-0.038100937,0.002139005,0.005426742,-0.004428682,-0.011331557,0.001694293,-0.025229097,-0.009367826,-0.004736535,-0.019434051,-0.028086751,-0.014650583,-0.011703782,-0.01419025,-0.004014413,-0.00943456,-0.014514592
3/17/2017,0.006090416,-0.00163904,0.007803958,0.006478862,-0.000876141,-0.026846652,0.004811579,0.007544528,-0.013298139,-0.018037568,0.018553458,-0.012334744,-0.017983016,0.014551673,-0.006594783,0.002620558,0.005143769,0.005996324,-0.01906582,-0.000924437,0.023987821,0.006137772,-0.000768898,0.002520606,-0.001648555,0.011614067,0.005667597,0.020855017,-0.003000201,0.004767373,0.002378482
3/10/2017,-0.004589116,-0.006279098,-0.019286814,-0.029986824,-0.000875255,-0.026232754,0.015705203,-0.002880781,0.005298074,-0.017994741,-0.000448449,-0.01240646,0.000278451,0.019360623,-0.016514971,-0.004482668,0.000625265,0.009986488,-0.014828726,0.010528035,-0.004773246,-0.011948259,0.006278578,-0.005027476,0.014247591,-0.001781837,0.010531176,-0.014883639,0.008325171,-0.010361488,-0.004424161
